2016 Federal Election House of Representatives Members Elected [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:37 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
DivisionID	DivisionNm	StateAb	CandidateID	GivenNm	Surname	PartyNm	PartyAb
179	Adelaide	SA	29073	Kate	ELLIS	Australian Labor Party	ALP
197	Aston	VIC	28875	Alan	TUDGE	Liberal	LP
198	Ballarat	VIC	28317	Catherine	KING	Australian Labor Party	ALP
103	Banks	NSW	28660	David	COLEMAN	Liberal	LP
180	Barker	SA	29568	Tony	PASIN	Liberal	LP
104	Barton	NSW	28964	Linda	BURNEY	Australian Labor Party	ALP
192	Bass	TAS	28451	Ross	HART	Australian Labor Party	ALP
199	Batman	VIC	28241	David	FEENEY	Australian Labor Party	ALP
200	Bendigo	VIC	28244	Lisa	CHESTERS	Australian Labor Party	ALP
105	Bennelong	NSW	28568	John	ALEXANDER	Liberal	LP
106	Berowra	NSW	28564	Julian	LEESER	Liberal	LP
304	Blair	QLD	28916	Shayne	NEUMANN	Australian Labor Party	ALP
107	Blaxland	NSW	28931	Jason	CLARE	Australian Labor Party	ALP
310	Bonner	QLD	28058	Ross	VASTA	Liberal National Party	LNP
182	Boothby	SA	29550	Nicolle	FLINT	Liberal	LP
155	Bowman	QLD	28051	Andrew	LAMING	Liberal National Party	LNP
193	Braddon	TAS	28439	Justine	KEAY	Australian Labor Party	ALP
108	Bradfield	NSW	28565	Paul	FLETCHER	Liberal	LP
235	Brand	WA	29103	Madeleine	KING	Australian Labor Party	ALP
156	Brisbane	QLD	28064	Trevor	EVANS	Liberal National Party	LNP
201	Bruce	VIC	28275	Julian	HILL	Australian Labor Party	ALP
317	Burt	WA	28756	Matt	KEOGH	Australian Labor Party	ALP
109	Calare	NSW	29294	Andrew	GEE	The Nationals	NP
203	Calwell	VIC	28311	Maria	VAMVAKINOU	Australian Labor Party	ALP
101	Canberra	ACT	28189	Gai	BRODTMANN	Australian Labor Party	ALP
236	Canning	WA	29036	Andrew	HASTIE	Liberal	LP
157	Capricornia	QLD	28034	Michelle	LANDRY	Liberal National Party	LNP
204	Casey	VIC	28985	Tony	SMITH	Liberal	LP
111	Chifley	NSW	28890	Ed	HUSIC	Australian Labor Party	ALP
205	Chisholm	VIC	28936	Julia	BANKS	Liberal	LP
112	Cook	NSW	28570	Scott	MORRISON	Liberal	LP
207	Corangamite	VIC	28920	Sarah	HENDERSON	Liberal	LP
208	Corio	VIC	28291	Richard	MARLES	Australian Labor Party	ALP
237	Cowan	WA	28727	Anne	ALY	Australian Labor Party	ALP
113	Cowper	NSW	29276	Luke	HARTSUYKER	The Nationals	NP
114	Cunningham	NSW	28948	Sharon	BIRD	Australian Labor Party	ALP
238	Curtin	WA	28746	Julie	BISHOP	Liberal	LP
158	Dawson	QLD	28037	George	CHRISTENSEN	Liberal National Party	LNP
209	Deakin	VIC	29068	Michael	SUKKAR	Liberal	LP
194	Denison	TAS	20881	Andrew	WILKIE	Independent	IND
252	Dickson	QLD	28139	Peter	DUTTON	Liberal National Party	LNP
115	Dobell	NSW	28978	Emma	McBRIDE	Australian Labor Party	ALP
210	Dunkley	VIC	28910	Chris	CREWTHER	Liberal	LP
312	Durack	WA	28566	Melissa	PRICE	Liberal	LP
117	Eden-Monaro	NSW	28993	Mike	KELLY	Australian Labor Party	ALP
159	Fadden	QLD	28066	Stuart	ROBERT	Liberal National Party	LNP
160	Fairfax	QLD	28035	Ted	O'BRIEN	Liberal National Party	LNP
118	Farrer	NSW	28699	Sussan	LEY	Liberal	LP
102	Fenner	ACT	28190	Andrew Keith	LEIGH	Australian Labor Party	ALP
161	Fisher	QLD	28045	Andrew	WALLACE	Liberal National Party	LNP
211	Flinders	VIC	28870	Greg	HUNT	Liberal	LP
311	Flynn	QLD	28049	Ken	O'DOWD	Liberal National Party	LNP
